package,rank,item,label
pika,22,home,Homepage
pika,22,github,Source
pipenv,22,home,Homepage
pluggy,22,home,Homepage
progressbar2,22,home,Homepage
prompt-toolkit,22,home,Homepage
pycryptodome,22,home,Homepage
pycryptodome,22,github,Source
pycryptodomex,22,home,Homepage
pycryptodomex,22,github,Source
pyodbc,22,home,Homepage
pypandoc,22,home,Homepage
pyproj,22,home,Homepage
pyproj,22,cloud-download-alt,Download
pyproj,22,bug,Bug Tracker
pyproj,22,book,Documentation
pyproj,22,scroll,Release Notes
pyproj,22,github,Source Code
pytest-django,22,home,Homepage
pytest-django,22,scroll,Changelog
pytest-django,22,github,Source
pytest-mock,22,home,Homepage
pywin32,22,home,Homepage
rasterio,22,home,Homepage
requests-mock,22,home,Homepage
requests-mock,22,github,Source
semver,22,home,Homepage
semver,22,cloud-download-alt,Download
semver,22,bug,Bug Tracker
semver,22,book,Documentation
semver,22,github,Releases
sphinx-autodoc-typehints,22,scroll,Changelog
sphinx-autodoc-typehints,22,home,Homepage
sphinx-autodoc-typehints,22,github,Source
sphinx-autodoc-typehints,22,bug,Tracker
tables,22,home,Homepage
tables,22,book,Documentation
tables,22,github,Source
tables,22,bug,Tracker
tablib,22,home,Homepage
tablib,22,book,Documentation
tablib,22,github,Source
tabulate,22,home,Homepage
termcolor,22,scroll,Changelog
termcolor,22,home,Homepage
termcolor,22,github,Source
toml,22,home,Homepage
troposphere,22,home,Homepage
troposphere,22,scroll,Changelog
troposphere,22,github,Source
troposphere,22,bug,Tracker
troposphere,22,home,Homepage
troposphere,22,scroll,Changelog
troposphere,22,github,Source
troposphere,22,bug,Tracker
tweepy,22,home,Homepage
tweepy,22,cloud-download-alt,Download
tweepy,22,book,Documentation
tweepy,22,bug,Issue Tracker
tweepy,22,github,Source Code
typing,22,home,Homepage
typing,22,github,Source
uvicorn,22,scroll,Changelog
uvicorn,22,donate,Funding
uvicorn,22,home,Homepage
uvicorn,22,github,Source
uvloop,22,home,Homepage
wagtail,22,home,Homepage
wagtail,22,book,Documentation
wagtail,22,github,Source
wcwidth,22,home,Homepage
yarl,22,home,Homepage
zipp,22,home,Homepage
zope.interface,22,home,Homepage
async-timeout,21,home,Homepage
async-timeout,21,gitter,Chat: Gitter
async-timeout,21,github,CI: GitHub Actions
async-timeout,21,tasks,Coverage: codecov
async-timeout,21,github,GitHub: issues
async-timeout,21,github,GitHub: repo
factory-boy,21,home,Homepage
falcon,21,home,Homepage
falcon,21,gitter,Chat
falcon,21,book,Documentation
falcon,21,donate,Funding
falcon,21,bug,Issue Tracker
falcon,21,scroll,Release Notes
falcon,21,github,Source
spotipy,21,home,Homepage
spotipy,21,github,Source
